timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
1.25,0.491994,0.873921,0.454083,0.819262,0.390206,0.784642,0.331578,0.786565,0.291494,0.801258,0.370956,0.699726,0.282105,0.771058,0.304223,0.808774,0.336458,0.809841,0.358738,0.711845,0.268836,0.792607,0.293622,0.826650,0.322311,0.827900,0.348426,0.747604,0.265931,0.820421,0.296086,0.857242,0.327351,0.863122,0.339273,0.795475,0.269602,0.846326,0.287610,0.870069,0.311390,0.869388
1.50,0.492318,0.827943,0.475820,0.766132,0.432942,0.713079,0.379384,0.696105,0.340867,0.696824,0.414674,0.634753,0.325573,0.648248,0.320882,0.687582,0.340596,0.708438,0.394395,0.641288,0.297528,0.676390,0.303259,0.716971,0.330425,0.736158,0.369026,0.670870,0.277717,0.709726,0.289766,0.747833,0.319369,0.761373,0.340313,0.713508,0.268318,0.745431,0.285028,0.780158,0.313293,0.792019
1.75,0.461051,0.870965,0.405614,0.859004,0.344678,0.828437,0.288804,0.815425,0.257548,0.810878,0.365548,0.731430,0.282586,0.762919,0.297272,0.802222,0.324520,0.811205,0.372882,0.721943,0.280874,0.759367,0.297635,0.799561,0.326065,0.810706,0.378602,0.731268,0.287622,0.761017,0.300417,0.798903,0.324675,0.811236,0.379530,0.752269,0.305036,0.770957,0.308174,0.796251,0.324376,0.804586
2.00,0.360144,0.803837,0.350447,0.752743,0.325796,0.721381,0.296636,0.709039,0.272625,0.706140,0.298585,0.730060,0.265759,0.719233,0.243269,0.714346,0.226437,0.713800,0.288077,0.755133,0.252620,0.745183,0.232878,0.739213,0.225469,0.742159,0.282626,0.781665,0.249675,0.770144,0.234379,0.760741,0.231487,0.758224,0.281152,0.809022,0.251951,0.798633,0.241195,0.788233,0.239034,0.780413
2.25,0.396757,0.789671,0.367352,0.754738,0.312587,0.716078,0.264039,0.707391,0.229422,0.709740,0.296531,0.644410,0.203537,0.641879,0.155101,0.640854,0.120740,0.630811,0.294671,0.658036,0.202261,0.704600,0.227115,0.735003,0.252654,0.734188,0.288688,0.689267,0.201846,0.730047,0.230102,0.758740,0.255926,0.758586,0.280832,0.729015,0.215426,0.752814,0.239322,0.778301,0.262127,0.781559
2.50,0.447859,0.825401,0.432855,0.770876,0.392705,0.732617,0.350507,0.725034,0.319749,0.736490,0.386805,0.656313,0.309170,0.701144,0.317550,0.729042,0.342055,0.733043,0.364836,0.662969,0.289388,0.710495,0.302457,0.738989,0.329118,0.743378,0.342654,0.688068,0.270948,0.727694,0.287061,0.755000,0.313302,0.762718,0.323942,0.720602,0.268542,0.752383,0.288487,0.775463,0.314708,0.778663
2.75,0.363046,0.832952,0.307295,0.825834,0.259076,0.804994,0.220722,0.791236,0.196404,0.789630,0.239022,0.732980,0.174140,0.764590,0.182631,0.792035,0.198093,0.798973,0.239302,0.723829,0.172877,0.768138,0.188901,0.794405,0.212501,0.796324,0.244040,0.728574,0.181015,0.769391,0.202720,0.795446,0.228408,0.796345,0.254210,0.739585,0.203264,0.773395,0.220900,0.795689,0.243660,0.795231
3.00,0.404002,0.799305,0.389454,0.737624,0.348169,0.696553,0.301881,0.688615,0.271215,0.696089,0.308486,0.662543,0.239250,0.669073,0.224463,0.685207,0.223757,0.691646,0.294912,0.681670,0.222479,0.701056,0.236001,0.726950,0.255149,0.735919,0.285115,0.710540,0.216985,0.728799,0.236771,0.755200,0.261398,0.763779,0.278703,0.745085,0.230049,0.760209,0.246436,0.779712,0.267479,0.785611
3.25,0.417038,0.784026,0.407180,0.750962,0.380746,0.727164,0.351643,0.718563,0.329200,0.722350,0.372424,0.669562,0.319355,0.699058,0.315203,0.722148,0.325646,0.731217,0.345043,0.668389,0.289948,0.705563,0.291312,0.731495,0.307461,0.738773,0.319726,0.682967,0.264766,0.716699,0.274204,0.745165,0.293015,0.754708,0.298871,0.704248,0.253231,0.736439,0.267130,0.763511,0.288488,0.771072
3.50,0.320915,0.810662,0.289278,0.774115,0.244239,0.750996,0.202716,0.745798,0.162938,0.746277,0.274151,0.686480,0.230850,0.701883,0.205097,0.718632,0.184623,0.733191,0.263420,0.697518,0.210637,0.715644,0.182902,0.736596,0.167336,0.752570,0.244906,0.717171,0.185082,0.734818,0.158603,0.758915,0.145936,0.775512,0.226177,0.738037,0.177199,0.753927,0.157673,0.773273,0.147616,0.785668
3.75,0.425977,0.819428,0.438488,0.777297,0.414971,0.746151,0.383199,0.731492,0.355532,0.732580,0.415662,0.686492,0.360868,0.711224,0.354988,0.738367,0.366889,0.750410,0.380459,0.680765,0.318073,0.716245,0.320336,0.744786,0.338556,0.753375,0.342055,0.692886,0.282512,0.729205,0.292156,0.762845,0.313182,0.773775,0.304493,0.714647,0.255340,0.749003,0.268676,0.781229,0.291938,0.791380
4.00,0.358451,0.784078,0.303795,0.776618,0.263376,0.764454,0.235321,0.757665,0.212732,0.761091,0.272224,0.710735,0.221845,0.719105,0.193774,0.733430,0.175454,0.747235,0.281139,0.700474,0.230360,0.729844,0.217300,0.762642,0.214438,0.783764,0.290029,0.701782,0.239887,0.732334,0.236745,0.765965,0.245307,0.786469,0.301170,0.708458,0.254969,0.734558,0.250905,0.757693,0.259871,0.770757
4.25,0.387228,0.831447,0.396548,0.774725,0.374935,0.736795,0.340274,0.721050,0.310443,0.723725,0.344891,0.685949,0.299191,0.709475,0.294517,0.738421,0.302087,0.753936,0.307426,0.694517,0.258479,0.718758,0.266023,0.750348,0.284996,0.766521,0.277052,0.718074,0.230865,0.739575,0.245081,0.771963,0.265194,0.786503,0.251369,0.749656,0.221846,0.771947,0.241857,0.796242,0.263811,0.804486
